pos	"লোগান"এক্সমেন সিরিজের দশম কিস্তি এবং উলভারিনের উপর নির্মিত ৩য় ও শেষ চলচ্চিত্র তাছাড়াও সিরিজের অন্যতম সেরা মুভিও এটি কাহিনী অভিনয় সব দিক দিয়েই অসাধারণ।
pos	গেম অব থ্রোন্স রিভিও বলবো না এটা জাস্ট ফিলিংস
pos	 এর প্রত্যেকটা মোমেন্ট, ডায়লগ, ক্যারাক্টার, সম্প্র্ক, সাম্রাজ্য,ভালোবাসা সব সব কিছুর এক কথায় প্রেমে পরে গেছি
neg	জোকারের ইতিহাস সৃষ্টি করা মুভি ""দ্য ডার্ক নাইট"" এর সিকোয়েন্স এটি। ক্রিস্টিফার নোলানের এই মুভিতে জোকার নেই কিন্তু আছে সমাজতান্তিক এক ভয়ানক ভিলেন বেন..!!
pos	যাই হোক বলবো আজ এক এমন ভালোবাসার গল্প যা আপনার চোখ থেকে মনের অজান্তেই পানি ফেলে দেবে। আমরা তো কতো ভালোবাসার গল্প জানি। 
neg	আসলে বলে আসলে শেষ করা যাবে না। ঝামেলা হল, এসব সিনকে ফুল প্রুফ করানোর জন্য অনেক যত্ন নেওয়া লাগে, অনেক বিশাল বাজেট লাগে। নাহলে অল্প বাজেটে যাই দেখাতে চাইবে, ব্যাপারটা হাস্যকর দেখায়।
pos	ফিল্মটি যেহেতু সত্য ঘটনা নিয়ে সেহেতু পরিচালকের জন্য এটি ছিলো বেশ চ্যালেঞ্জিং কাজ। 
neg	প্রথমে ম্যালোরি আর তার বোনের কথোপকথন, হাসপাতালে যাওয়া, এই সময়টা প্রচণ্ড প্রচণ্ড বোরিং ও ক্রিঞ্জি ছিল।
pos	কিন্তু পরিচালক সব উপেক্ষা করে আমাদের সামনে তুলে ধরেছেন গল্পের বাস্তব রুপ। একটি বারের জন্য মনে হয় নি এটি ফিল্ম, মনে হচ্ছিলো আমি ঐ এলাকার বাসিন্দা বসে বসে সব কান্ড গুলো দেখছি। এছাড়া গল্পকে আরো প্রাণবন্ত করেছেন এ ফিল্মের লিডিং রোলে থাকা "রিচার্ড গেরে"। তাঁর অসাধারণ অভিনয় আপনাকে মুগ্ধ করবে আমি নিশ্চিত বলে দিলাম।
neg	এপোক্যালিপ্স কিভাবে হয়েছে, তা 'এ কুয়াইট প্লেস' এ স্কিপ করেছে, কিন্তু 'বার্ড বক্স'-এ দেখানোর চেষ্টা করেছে। কিন্তু দেখাতে গিয়েই প্রথমে নানান রকম ইনকনসিস্টেন্সি ক্রিয়েট করেছে।
